Artifact,Case,Tool,Phase,Value
Hibernate,Catch,Incremental,model load,17858026495
Hibernate,Catch,Incremental,engine creation,10587933993
Hibernate,Catch,Incremental,search plan calculation,0
Hibernate,Catch,Incremental,check,186668
Hibernate,Catch,Sequential,model load,16377468824
Hibernate,Catch,Sequential,engine creation,4758025717
Hibernate,Catch,Sequential,search plan calculation,2646911897
Hibernate,Catch,Sequential,check,1980415
Hibernate,Catch,Parallel,model load,16671170418
Hibernate,Catch,Parallel,engine creation,4924971355
Hibernate,Catch,Parallel,search plan calculation,2697898264
Hibernate,Catch,Parallel,check,1770571
Hibernate,No default switch,Incremental,model load,17647664754
Hibernate,No default switch,Incremental,engine creation,9166195785
Hibernate,No default switch,Incremental,search plan calculation,0
Hibernate,No default switch,Incremental,check,216186
Hibernate,No default switch,Sequential,model load,16986683452
Hibernate,No default switch,Sequential,engine creation,4887606854
Hibernate,No default switch,Sequential,search plan calculation,833888
Hibernate,No default switch,Sequential,check,314701
Hibernate,No default switch,Parallel,model load,16619896519
Hibernate,No default switch,Parallel,engine creation,4682633189
Hibernate,No default switch,Parallel,search plan calculation,688905
Hibernate,No default switch,Parallel,check,719915
Hibernate,Constant compare,Incremental,model load,16854273915
Hibernate,Constant compare,Incremental,engine creation,11407826704
Hibernate,Constant compare,Incremental,search plan calculation,0
Hibernate,Constant compare,Incremental,check,686360
Hibernate,Constant compare,Sequential,model load,17903458652
Hibernate,Constant compare,Sequential,engine creation,5101105326
Hibernate,Constant compare,Sequential,search plan calculation,7730144230
Hibernate,Constant compare,Sequential,check,58819523
Hibernate,Constant compare,Parallel,model load,16887167149
Hibernate,Constant compare,Parallel,engine creation,5018546244
Hibernate,Constant compare,Parallel,search plan calculation,4569996073
Hibernate,Constant compare,Parallel,check,188768290
Hibernate,Unused parameter,Incremental,model load,16748052785
Hibernate,Unused parameter,Incremental,engine creation,12785289207
Hibernate,Unused parameter,Incremental,search plan calculation,0
Hibernate,Unused parameter,Incremental,check,769448
Hibernate,Unused parameter,Sequential,model load,15965078758
Hibernate,Unused parameter,Sequential,engine creation,4938662988
Hibernate,Unused parameter,Sequential,search plan calculation,10557076594
Hibernate,Unused parameter,Sequential,check,263211053
Hibernate,Unused parameter,Parallel,model load,16796317896
Hibernate,Unused parameter,Parallel,engine creation,4702247830
Hibernate,Unused parameter,Parallel,search plan calculation,9958879064
Hibernate,Unused parameter,Parallel,check,232611962
